PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5
0.118,0.235,0.647,0.235,0.412,0.412,0.176,0.0,0.235,0.118,0.647,0.529,0.294,0.471,0.118,0.0,0.353,0.294,0.353,0.235,0.529,0.294,0.059,0.588,0.412,0.705,-0.172,-0.311,-0.742,0.587
0.176,0.118,0.706,0.059,0.647,0.647,0.059,0.0,0.118,0.176,0.706,0.471,0.235,0.353,0.059,0.0,0.353,0.294,0.353,0.588,0.294,0.118,0.353,0.647,0.353,0.412,-1.384,-0.555,-0.482,0.326
0.118,0.0,0.882,0.059,0.824,0.471,0.059,0.294,0.0,0.118,0.882,0.706,0.176,0.176,0.059,0.059,0.294,0.471,0.235,0.706,0.118,0.176,0.235,0.471,0.529,-1.502,-0.094,-0.202,0.652,-0.168
0.059,0.118,0.824,0.294,0.529,0.294,0.118,0.176,0.118,0.059,0.824,0.412,0.176,0.529,0.118,0.059,0.412,0.176,0.412,0.353,0.412,0.294,0.294,0.471,0.529,0.337,0.279,0.208,0.092,0.144
0.176,0.0,0.824,0.412,0.412,0.118,0.059,0.118,0.0,0.176,0.824,0.647,0.235,0.294,0.118,0.294,0.588,0.353,0.059,0.294,0.294,0.412,0.176,0.353,0.647,-0.108,0.136,0.037,0.656,-0.338
0.294,0.059,0.647,0.176,0.412,0.353,0.059,0.059,0.059,0.294,0.647,0.529,0.412,0.294,0.176,0.0,0.471,0.294,0.235,0.353,0.235,0.412,0.059,0.471,0.529,0.191,-0.185,-0.491,0.271,0.109
0.294,0.118,0.588,0.176,0.353,0.294,0.059,0.118,0.118,0.294,0.588,0.294,0.412,0.353,0.118,0.0,0.353,0.235,0.412,0.294,0.412,0.353,0.176,0.471,0.529,0.784,0.135,-0.096,0.255,0.032
0.118,0.059,0.824,0.235,0.588,0.353,0.059,0.294,0.059,0.118,0.824,0.529,0.176,0.294,0.118,0.0,0.412,0.353,0.235,0.529,0.235,0.235,0.294,0.353,0.647,-0.663,0.044,-0.022,-0.202,0.192
0.118,0.118,0.765,0.235,0.529,0.235,0.0,0.294,0.118,0.118,0.765,0.588,0.118,0.353,0.235,0.0,0.412,0.412,0.176,0.529,0.118,0.353,0.176,0.235,0.765,-1.119,0.418,0.048,0.094,-0.057
0.235,0.118,0.647,0.235,0.353,0.294,0.059,0.118,0.118,0.235,0.647,0.412,0.353,0.353,0.176,0.0,0.294,0.353,0.353,0.294,0.294,0.294,0.176,0.529,0.471,0.814,0.074,-0.489,-0.252,0.054
0.059,0.118,0.824,0.471,0.353,0.235,0.0,0.176,0.118,0.059,0.824,0.588,0.059,0.294,0.176,0.235,0.235,0.588,0.176,0.353,0.118,0.471,0.176,0.471,0.529,-0.642,-0.29,0.145,-0.361,-0.537
0.176,0.0,0.824,0.294,0.529,0.294,0.0,0.176,0.0,0.176,0.824,0.588,0.176,0.294,0.176,0.176,0.412,0.412,0.176,0.471,0.059,0.353,0.353,0.471,0.529,-0.13,-0.342,-0.242,0.552,-0.431
0.176,0.0,0.824,0.294,0.412,0.235,0.0,0.294,0.0,0.176,0.824,0.353,0.294,0.294,0.118,0.0,0.235,0.471,0.294,0.412,0.176,0.294,0.176,0.353,0.647,-0.071,0.621,-0.334,0.328,-0.56
0.059,0.118,0.824,0.412,0.412,0.235,0.0,0.176,0.118,0.059,0.824,0.647,0.059,0.471,0.235,0.118,0.294,0.529,0.176,0.529,0.176,0.294,0.235,0.471,0.529,-0.328,-0.464,0.249,-0.408,-0.344
0.059,0.059,0.882,0.118,0.765,0.529,0.059,0.235,0.059,0.059,0.882,0.824,0.118,0.176,0.118,0.0,0.353,0.529,0.118,0.706,0.176,0.176,0.235,0.471,0.529,-1.585,-0.298,-0.241,0.155,0.127
0.059,0.118,0.824,0.235,0.471,0.235,0.059,0.235,0.118,0.059,0.824,0.529,0.235,0.294,0.176,0.059,0.118,0.471,0.412,0.353,0.294,0.412,0.118,0.471,0.529,-0.556,0.462,0.453,-0.169,-0.188
0.176,0.176,0.647,0.294,0.353,0.294,0.118,0.235,0.176,0.176,0.647,0.353,0.294,0.353,0.059,0.0,0.353,0.412,0.235,0.235,0.353,0.471,0.059,0.353,0.647,0.092,0.444,-0.041,-0.118,-0.038
0.118,0.176,0.706,0.353,0.294,0.294,0.235,0.118,0.176,0.118,0.706,0.471,0.412,0.235,0.0,0.176,0.235,0.353,0.412,0.235,0.529,0.471,0.176,0.588,0.412,0.454,0.433,1.265,-0.004,-0.126
0.235,0.118,0.647,0.176,0.471,0.353,0.118,0.118,0.118,0.235,0.647,0.529,0.353,0.353,0.118,0.059,0.353,0.353,0.294,0.412,0.353,0.294,0.235,0.529,0.471,0.495,-0.139,-0.027,0.37,-0.046
0.353,0.059,0.588,0.353,0.176,0.059,0.0,0.235,0.059,0.353,0.588,0.235,0.412,0.176,0.118,0.118,0.471,0.353,0.176,0.176,0.294,0.529,0.176,0.294,0.706,0.516,0.764,0.09,0.655,-0.471
0.176,0.059,0.765,0.294,0.412,0.412,0.0,0.059,0.059,0.176,0.765,0.588,0.235,0.235,0.176,0.059,0.412,0.471,0.118,0.471,0.176,0.294,0.118,0.412,0.588,-0.539,-0.593,-0.748,-0.379,-0.169
0.118,0.235,0.647,0.294,0.353,0.294,0.0,0.235,0.235,0.118,0.647,0.353,0.118,0.353,0.059,0.0,0.529,0.294,0.176,0.353,0.294,0.235,0.118,0.294,0.706,-0.106,0.542,-0.422,-0.549,-0.012
0.235,0.059,0.706,0.176,0.471,0.118,0.059,0.294,0.059,0.235,0.706,0.529,0.353,0.176,0.118,0.118,0.412,0.353,0.235,0.294,0.176,0.471,0.059,0.294,0.706,-0.532,1.114,0.118,0.84,-0.282
0.235,0.118,0.647,0.294,0.353,0.118,0.0,0.235,0.118,0.235,0.647,0.471,0.235,0.176,0.059,0.235,0.412,0.471,0.118,0.353,0.176,0.353,0.176,0.353,0.647,-0.101,0.686,0.062,0.705,-0.717
0.176,0.176,0.647,0.118,0.471,0.353,0.059,0.176,0.176,0.176,0.647,0.529,0.294,0.235,0.059,0.0,0.412,0.353,0.235,0.412,0.353,0.176,0.059,0.471,0.529,-0.122,0.344,-0.433,-0.215,0.028
0.059,0.118,0.824,0.353,0.412,0.412,0.176,0.059,0.118,0.059,0.824,0.529,0.294,0.471,0.235,0.0,0.353,0.235,0.412,0.235,0.471,0.471,0.294,0.765,0.235,0.828,-0.658,0.284,-0.669,0.434
0.0,0.059,0.941,0.235,0.706,0.647,0.059,0.118,0.059,0.0,0.941,0.706,0.059,0.235,0.059,0.059,0.529,0.353,0.118,0.588,0.176,0.294,0.235,0.471,0.529,-1.36,-1.084,-0.388,-0.533,0.256
0.118,0.059,0.824,0.294,0.412,0.176,0.118,0.294,0.059,0.118,0.824,0.471,0.353,0.235,0.118,0.059,0.294,0.353,0.353,0.235,0.412,0.471,0.118,0.471,0.529,-0.256,1.115,0.456,0.591,-0.266
0.118,0.176,0.706,0.353,0.353,0.294,0.176,0.118,0.176,0.118,0.706,0.412,0.294,0.412,0.059,0.118,0.353,0.235,0.412,0.294,0.529,0.353,0.235,0.529,0.471,0.546,0.199,0.742,-0.132,0.102
0.118,0.118,0.765,0.412,0.353,0.235,0.0,0.118,0.118,0.118,0.765,0.529,0.118,0.471,0.235,0.118,0.353,0.471,0.176,0.353,0.235,0.412,0.176,0.471,0.529,0.045,-0.607,-0.163,-0.456,-0.235
